px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
106.814	14.0276	1.38248	-0.299187	0.185262	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	18957.8
106.772	14.0051	1.52624	-0.298228	0.231689	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	105408
108.079	13.6596	1.76877	-0.0357576	0.250603	108.084	13.6604	108.122	13.644	1.47592	-0.423202	19597.8
108.08	13.6608	1.68183	-0.044609	0.234359	108.131	13.6844	108.122	13.644	1.47592	-0.423202	109112
109.531	13.5735	1.87759	0.0794834	0.168587	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	15186.1
109.485	13.567	1.62872	0.0635233	0.154735	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	109872
111.057	12.6094	1.86737	-0.936259	-0.535558	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	14144.3
111.145	12.6557	2.3448	-0.665113	-0.176197	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	112759
112.902	12.4657	1.49481	-0.0645595	0.308985	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	17984
112.913	12.4467	1.77157	-0.0499421	0.332021	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	117076
114.788	12.5478	2.45172	0.290833	0.335801	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	16517.4
114.792	12.5537	2.09813	0.304463	0.373828	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	120649
116.68	12.1216	1.99276	-0.326914	-0.232538	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	16256.8
116.723	12.1355	2.29991	-0.248114	-0.138717	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	124056
118.94	11.9932	2.77529	0.0617213	0.14724	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	18441.2
118.907	11.999	2.38282	0.0878867	0.15962	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	129677
120.698	12.292	2.24569	0.264727	0.170415	120.695	12.2918	120.743	12.3289	2.21139	0.128528	14559.4
120.742	12.2961	2.31906	0.263935	0.169081	120.934	12.1905	120.743	12.3289	2.21139	0.128528	132700
123.542	12.8296	3.66622	0.0643421	-0.063836	123.568	12.8297	122.95	12.5114	2.29835	0.246599	16926.6
123.438	12.8099	2.73557	-0.00647492	-0.129238	123.142	12.7694	122.95	12.5114	2.29835	0.246599	137899
124.908	12.7727	1.95049	-0.086464	-0.098263	124.894	12.7743	125.242	12.8125	2.37624	0.369827	13126.9
125.015	12.7851	2.6589	-0.0731492	-0.0668277	125.376	12.9964	125.242	12.8125	2.37624	0.369827	142319
127.836	13.3181	3.47377	0.436139	0.296632	127.853	13.3273	127.609	13.2365	2.44434	0.495787	17100.2
127.759	13.319	3.0165	0.499534	0.394619	127.506	13.153	127.609	13.2365	2.44434	0.495787	147225
129.95	13.7113	2.2342	0.232394	-0.024102	129.947	13.6963	130.042	13.7853	2.50232	0.621879	18296.5
130.034	13.7248	2.50495	0.219725	-0.0405818	130.334	13.781	130.042	13.7853	2.50232	0.621879	155333
132.09	14.5031	2.67628	0.374039	0.0827358	132.092	14.507	132.53	14.458	2.55028	0.74543	18450.9
132.158	14.5096	2.83274	0.361075	0.0670844	132.447	14.3423	132.53	14.458	2.55028	0.74543	159582
